set_id,set_name,year,count_pieces,era,minifig_id,character,factions,portrayal
10195-1,Republic Dropship with AT-OT Walker,2009,1758,Fall of the Jedi,SW0201,Clone Trooper,Galactic Republic,protagonist
10198-1,Tantive IV,2009,1408,Age of Rebellion,SW0161,C-3PO,Rebel Alliance,protagonist
10198-1,Tantive IV,2009,1408,Age of Rebellion,SW0175,Princess Leia,Rebel Alliance,protagonist
10198-1,Tantive IV,2009,1408,Age of Rebellion,SW0187,Rebel Fleet Trooper,Rebel Alliance,protagonist
10198-1,Tantive IV,2009,1408,Age of Rebellion,SW0217,R2-D2,Rebel Alliance,protagonist
10198-1,Tantive IV,2009,1408,Age of Rebellion,SW0256,Captain Antilles,Rebel Alliance,protagonist
30004-1,Battle Droid on STAP,2009,28,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
30005-1,Imperial Speeder Bike,2009,33,Age of Rebellion,SW0188,Stormtrooper,Galactic Empire,antagonist
30006-1,Clone Walker,2009,31,Fall of the Jedi,SW0201,Clone Trooper,Galactic Republic,protagonist
30058-1,STAP,2012,24,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
40557-1,Defense of Hoth,2022,64,Age of Rebellion,SW1186,Hoth Rebel Trooper,Rebel Alliance,protagonist
40557-1,Defense of Hoth,2022,64,Age of Rebellion,SW1187,Hoth Rebel Trooper,Rebel Alliance,protagonist
40557-1,Defense of Hoth,2022,64,Age of Rebellion,SW1188,Hoth Rebel Trooper,Rebel Alliance,protagonist
40558-1,Clone Trooper Command Station,2022,66,Fall of the Jedi,SW1146,Clone Trooper Commander,Galactic Republic,protagonist
40558-1,Clone Trooper Command Station,2022,66,Fall of the Jedi,SW1189,Clone Trooper,Galactic Republic,protagonist
4475-1,Jabba's Message,2003,44,Age of Rebellion,SW0010,C-3PO,Rebel Alliance,protagonist
4475-1,Jabba's Message,2003,44,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
4475-1,Jabba's Message,2003,44,Age of Rebellion,SW0076,Bib Fortuna,Hutt Clan,antagonist
4476-1,Jabba's Prize,2003,40,Age of Rebellion,SW0002,Boba Fett,Galactic Empire,antagonist
4476-1,Jabba's Prize,2003,40,Age of Rebellion,SW0075,Gamorrean Guard,Hutt Clan,antagonist
4476-1,Jabba's Prize,2003,40,Age of Rebellion,SW0984,Han Solo,Rebel Alliance,protagonist
4477-1,T-16 Skyhopper,2003,98,Age of Rebellion,SW0077,T-16 Skyhopper Pilot,none,neutral
4478-1,Geonosian Fighter,2003,170,Fall of the Jedi,SW0061,Battle Droid,Confederation of Independent Systems,antagonist
4478-1,Geonosian Fighter,2003,170,Fall of the Jedi,SW0062,Geonosian,"Geonosians, Confederation of Independent Systems",antagonist
4478-1,Geonosian Fighter,2003,170,Fall of the Jedi,SW0078,Geonosian Warrior,"Geonosians, Confederation of Independent Systems",antagonist
4479-1,TIE Bomber,2003,230,Age of Rebellion,SW0035,TIE Fighter Pilot,Galactic Empire,antagonist
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0070,Princess Leia,Rebel Alliance,protagonist
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0071,Jabba the Hutt,Hutt Clan,antagonist
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0072,EV-9D9,Hutt Clan,antagonist
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0073,Gonk Droid,none,neutral
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0074,B'Omarr Monk,Hutt Clan,neutral
4480-1,Jabba's Palace,2003,231,Age of Rebellion,SW0079,Luke Skywalker,Rebel Alliance,protagonist
4482-1,AT-TE,2003,658,Fall of the Jedi,SW0058,Clone Trooper,Galactic Republic,protagonist
4483-1,AT-AT,2003,1064,Age of Rebellion,SW0019,Luke Skywalker,Rebel Alliance,protagonist
4483-1,AT-AT,2003,1064,Age of Rebellion,SW0101,Snowtrooper,Galactic Empire,antagonist
4483-1,AT-AT,2003,1064,Age of Rebellion,SW0102,AT-AT Driver,Galactic Empire,antagonist
4500-1,Rebel Snowspeeder,2004,214,Age of Rebellion,SW0012,Dak Ralter,Rebel Alliance,protagonist
4500-1,Rebel Snowspeeder,2004,214,Age of Rebellion,SW0019,Luke Skywalker,Rebel Alliance,protagonist
4500-1,Rebel Snowspeeder,2004,214,Age of Rebellion,SW0108,Hoth Rebel Trooper,Rebel Alliance,protagonist
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion,SW0021,Luke Skywalker,Rebel Alliance,protagonist
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion,SW0023,Obi-Wan Kenobi,Rebel Alliance,protagonist
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion,SW0109,Sandtrooper,Galactic Empire,antagonist
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion,SW0110,Greedo,Hutt Clan,antagonist
4501-1,Mos Eisley Cantina,2004,193,Age of Rebellion,SW0111,Han Solo,Rebel Alliance,protagonist
4502-1,X-wing Fighter,2004,563,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
4502-1,X-wing Fighter,2004,563,Age of Rebellion,SW0051,Yoda,Jedi Order,protagonist
4502-1,X-wing Fighter,2004,563,Age of Rebellion,SW0106,Luke Skywalker,Rebel Alliance,protagonist
4504-1,Millennium Falcon,2004,985,Age of Rebellion,SW0010,C-3PO,Rebel Alliance,protagonist
4504-1,Millennium Falcon,2004,985,Age of Rebellion,SW0011,Chewbacca,Rebel Alliance,protagonist
4504-1,Millennium Falcon,2004,985,Age of Rebellion,SW0080,Snowtrooper,Galactic Empire,antagonist
4504-1,Millennium Falcon,2004,985,Age of Rebellion,SW0081,Han Solo,Rebel Alliance,protagonist
4504-1,Millennium Falcon,2004,985,Age of Rebellion,SW0113,Princess Leia,Rebel Alliance,protagonist
6205-1,V-wing Fighter,2006,118,Fall of the Jedi,SW0118,Clone Pilot,Galactic Republic,protagonist
6206-1,TIE Interceptor,2006,212,Age of Rebellion,SW0035,TIE Fighter Pilot,Galactic Empire,antagonist
6207-1,A-wing Fighter,2006,194,Age of Rebellion,SW0031,Rebel Pilot,Rebel Alliance,protagonist
6207-1,A-wing Fighter,2006,194,Age of Rebellion,SW0082,Rebel Engineer,Rebel Alliance,protagonist
6208-1,B-wing Fighter,2006,435,Age of Rebellion,SW0032,Rebel Pilot,Rebel Alliance,protagonist
6208-1,B-wing Fighter,2006,435,Age of Rebellion,SW0153,Ten Numb,Rebel Alliance,protagonist
6209-1,Slave I,2006,537,Age of Rebellion,SW0002,Boba Fett,Galactic Empire,antagonist
6209-1,Slave I,2006,537,Age of Rebellion,SW0149,Dengar,Galactic Empire,antagonist
6209-1,Slave I,2006,537,Age of Rebellion,SW0150,Bespin Guard,Cloud City,neutral
6209-1,Slave I,2006,537,Age of Rebellion,SW0151,IG-88,Galactic Empire,antagonist
6209-1,Slave I,2006,537,Age of Rebellion,SW0984,Han Solo,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0002,Boba Fett,Galactic Empire,antagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0071,Jabba the Hutt,Hutt Clan,antagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0083,Luke Skywalker,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0084,Han Solo,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0085,Princess Leia,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0086,Lando Calrissian,Rebel Alliance,protagonist
6210-1,Jabba's Sail Barge,2006,781,Age of Rebellion,SW0087,Gamorrean Guard,Hutt Clan,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0036,Stormtrooper,Galactic Empire,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0040,Royal Guard,Galactic Empire,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0123,Darth Vader,"Sith Order, Galactic Empire",antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0154,Imperial Officer,Galactic Empire,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0155,R2-D5,Galactic Empire,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0156,Mouse Droid,Galactic Empire,antagonist
6211-1,Imperial Star Destroyer,2006,1367,Age of Rebellion,SW0157,Grand Moff Tarkin,Galactic Empire,antagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0011,Chewbacca,Rebel Alliance,protagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0088,Han Solo,Rebel Alliance,protagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0089,Wedge Antilles,Rebel Alliance,protagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0090,Luke Skywalker,Rebel Alliance,protagonist
6212-1,X-wing Fighter,2006,437,Age of Rebellion,SW0113,Princess Leia,Rebel Alliance,protagonist
7101-1,Lightsaber Duel,1999,52,Fall of the Jedi,SW0003,Darth Maul,"Sith Order, Shadow Collective",antagonist
7101-1,Lightsaber Duel,1999,52,Fall of the Jedi,SW0027,Qui-Gon Jinn,"Jedi Order, Galactic Republic",protagonist
7103-1,Jedi Duel,2002,82,Fall of the Jedi,SW0051,Yoda,"Jedi Order, Galactic Republic",protagonist
7103-1,Jedi Duel,2002,82,Fall of the Jedi,SW0060,Count Dooku,"Sith Order, Confederation of Independent Systems",antagonist
7104-1,Desert Skiff,2000,55,Age of Rebellion,SW0015,Han Solo,Rebel Alliance,protagonist
7104-1,Desert Skiff,2000,55,Age of Rebellion,SW0020,Luke Skywalker,Rebel Alliance,protagonist
7106-1,Droid Escape,2001,45,Age of Rebellion,SW0010,C-3PO,Rebel Alliance,protagonist
7106-1,Droid Escape,2001,45,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
7110-1,Landspeeder,1999,49,Age of Rebellion,SW0021,Luke Skywalker,Rebel Alliance,protagonist
7110-1,Landspeeder,1999,49,Age of Rebellion,SW0023,Obi-Wan Kenobi,Rebel Alliance,protagonist
7113-1,Tusken Raider Encounter,2002,93,Fall of the Jedi,SW0052,Tusken Raider,none,antagonist
7113-1,Tusken Raider Encounter,2002,93,Fall of the Jedi,SW0099,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7115-1,Gungan Patrol,2000,77,Fall of the Jedi,SW0013,Gungan Warrior,Gungan Grand Army,protagonist
7115-1,Gungan Patrol,2000,77,Fall of the Jedi,SW0017,Jar-Jar Binks,Gungan Grand Army,protagonist
7119-1,Twin-Pod Cloud Car,2002,118,Age of Rebellion,SW0049,Lobot,Cloud City,neutral
7121-1,Naboo Swamp,1999,82,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7121-1,Naboo Swamp,1999,82,Fall of the Jedi,SW0017,Jar-Jar Binks,Gungan Grand Army,protagonist
7121-1,Naboo Swamp,1999,82,Fall of the Jedi,SW0027,Qui-Gon Jinn,"Jedi Order, Galactic Republic",protagonist
7124-1,Flash Speeder,2000,106,Fall of the Jedi,SW0022,Naboo Security Guard,Royal House of Naboo,protagonist
7126-1,Battle Droid Carrier,2001,133,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7126-1,Battle Droid Carrier,2001,133,Fall of the Jedi,SW0065,Battle Droid Pilot,Confederation of Independent Systems,antagonist
7127-1,Imperial AT-ST,2001,107,Age of Rebellion,SW0011,Chewbacca,Rebel Alliance,protagonist
7128-1,Speeder Bikes,1999,93,Age of Rebellion,SW0005,Scout Trooper,Galactic Empire,antagonist
7128-1,Speeder Bikes,1999,93,Age of Rebellion,SW0018,Luke Skywalker,Rebel Alliance,protagonist
7130-1,Snowspeeder,1999,215,Age of Rebellion,SW0012,Dak Ralter,Rebel Alliance,protagonist
7130-1,Snowspeeder,1999,215,Age of Rebellion,SW0016,Hoth Rebel Trooper,Rebel Alliance,protagonist
7130-1,Snowspeeder,1999,215,Age of Rebellion,SW0019,Luke Skywalker,Rebel Alliance,protagonist
7131-1,Anakin's Podracer,1999,136,Fall of the Jedi,SW0008,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7131-1,Anakin's Podracer,1999,136,Fall of the Jedi,SW0025,Padmé Amidala,Galactic Republic,protagonist
7131-1,Anakin's Podracer,1999,136,Fall of the Jedi,SW0037,Pit Droid,none,neutral
7133-1,Bounty Hunter Pursuit,2002,259,Fall of the Jedi,SW0055,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7133-1,Bounty Hunter Pursuit,2002,259,Fall of the Jedi,SW0059,Zam Wesell,Confederation of Independent Systems,antagonist
7133-1,Bounty Hunter Pursuit,2002,259,Fall of the Jedi,SW0100,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7134-1,A-wing Fighter,2000,125,Age of Rebellion,SW0030,Rebel Engineer,Rebel Alliance,protagonist
7134-1,A-wing Fighter,2000,125,Age of Rebellion,SW0031,Rebel Pilot,Rebel Alliance,protagonist
7139-1,Ewok Attack,2002,121,Age of Rebellion,SW0005,Scout Trooper,Galactic Empire,antagonist
7139-1,Ewok Attack,2002,121,Age of Rebellion,SW0036,Stormtrooper,Galactic Empire,antagonist
7139-1,Ewok Attack,2002,121,Age of Rebellion,SW0050,Wicket W. Warrick,Ewoks,protagonist
7139-1,Ewok Attack,2002,121,Age of Rebellion,SW0067,Paploo,Ewoks,protagonist
7140-1,X-wing Fighter,1999,266,Age of Rebellion,SW0009,Biggs Darklighter,Rebel Alliance,protagonist
7140-1,X-wing Fighter,1999,266,Age of Rebellion,SW0019,Luke Skywalker,Rebel Alliance,protagonist
7140-1,X-wing Fighter,1999,266,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
7140-1,X-wing Fighter,1999,266,Age of Rebellion,SW0034,Rebel Engineer,Rebel Alliance,protagonist
7141-1,Naboo Fighter,1999,179,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7141-1,Naboo Fighter,1999,179,Fall of the Jedi,SW0007,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7141-1,Naboo Fighter,1999,179,Fall of the Jedi,SW0028,R2-D2,Galactic Republic,protagonist
7142-1,X-wing Fighter,2002,267,Age of Rebellion,SW0009,Biggs Darklighter,Rebel Alliance,protagonist
7142-1,X-wing Fighter,2002,267,Age of Rebellion,SW0019,Luke Skywalker,Rebel Alliance,protagonist
7142-1,X-wing Fighter,2002,267,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
7142-1,X-wing Fighter,2002,267,Age of Rebellion,SW0034,Rebel Engineer,Rebel Alliance,protagonist
7143-1,Jedi Starfighter,2002,138,Fall of the Jedi,SW0055,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7144-1,Slave I,2000,166,Age of Rebellion,SW0002,Boba Fett,Galactic Empire,antagonist
7144-1,Slave I,2000,166,Age of Rebellion,SW0984,Han Solo,Rebel Alliance,protagonist
7146-1,TIE Fighter,2001,171,Age of Rebellion,SW0035,TIE Fighter Pilot,Galactic Empire,antagonist
7146-1,TIE Fighter,2001,171,Age of Rebellion,SW0036,Stormtrooper,Galactic Empire,antagonist
7150-1,TIE Fighter and Y-wing,1999,409,Age of Rebellion,SW0004,Darth Vader,"Sith Order, Galactic Empire",antagonist
7150-1,TIE Fighter and Y-wing,1999,409,Age of Rebellion,SW0029,R5-D4,none,neutral
7150-1,TIE Fighter and Y-wing,1999,409,Age of Rebellion,SW0033,Jon Vander,Rebel Alliance,protagonist
7151-1,Sith Infiltrator,1999,244,Fall of the Jedi,SW0003,Darth Maul,"Sith Order, Shadow Collective",antagonist
7152-1,TIE Fighter and Y-wing,2002,410,Age of Rebellion,SW0004,Darth Vader,"Sith Order, Galactic Empire",antagonist
7152-1,TIE Fighter and Y-wing,2002,410,Age of Rebellion,SW0029,R5-D4,none,neutral
7152-1,TIE Fighter and Y-wing,2002,410,Age of Rebellion,SW0033,Jon Vander,Rebel Alliance,protagonist
7153-1,Jango Fett's Slave I,2002,369,Fall of the Jedi,SW0053,Jango Fett,Confederation of Independent Systems,antagonist
7153-1,Jango Fett's Slave I,2002,369,Fall of the Jedi,SW0054,Boba Fett,none,antagonist
7155-1,Trade Federation AAT,2000,158,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7159-1,Star Wars Podracing Bucket,2000,292,Fall of the Jedi,SW0006,Aldar Beedo,none,neutral
7159-1,Star Wars Podracing Bucket,2000,292,Fall of the Jedi,SW0008,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7159-1,Star Wars Podracing Bucket,2000,292,Fall of the Jedi,SW0017,Jar-Jar Binks,Gungan Grand Army,protagonist
7161-1,Gungan Sub,1999,379,Fall of the Jedi,SW0017,Jar-Jar Binks,Gungan Grand Army,protagonist
7161-1,Gungan Sub,1999,379,Fall of the Jedi,SW0024,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7161-1,Gungan Sub,1999,379,Fall of the Jedi,SW0027,Qui-Gon Jinn,"Jedi Order, Galactic Republic",protagonist
7163-1,Republic Gunship,2002,686,Fall of the Jedi,SW0056,Super Battle Droid,Confederation of Independent Systems,antagonist
7163-1,Republic Gunship,2002,686,Fall of the Jedi,SW0057,Jedi Knight,"Jedi Order, Galactic Republic",protagonist
7163-1,Republic Gunship,2002,686,Fall of the Jedi,SW0058,Clone Trooper,Galactic Republic,protagonist
7163-1,Republic Gunship,2002,686,Fall of the Jedi,SW0063,Droideka,Confederation of Independent Systems,antagonist
7166-1,Imperial Shuttle,2001,238,Age of Rebellion,SW0040,Royal Guard,Galactic Empire,antagonist
7166-1,Imperial Shuttle,2001,238,Age of Rebellion,SW0041,Palpatine,"Sith Order, Galactic Empire",antagonist
7166-1,Imperial Shuttle,2001,238,Age of Rebellion,SW0042,Imperial Shuttle Pilot,Galactic Empire,antagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0008,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0017,Jar-Jar Binks,Gungan Grand Army,protagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0025,Padmé Amidala,Galactic Republic,protagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0027,Qui-Gon Jinn,"Jedi Order, Galactic Republic",protagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0028,R2-D2,Galactic Republic,protagonist
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0037,Pit Droid,none,neutral
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0039,Pit Droid,none,neutral
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0043,Gasgano,none,neutral
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0064,Pit Droid,none,neutral
7171-1,Mos Espa Podrace,1999,896,Fall of the Jedi,SW0980,Sebulba,none,antagonist
7180-1,B-wing at Rebel Control Center,2000,338,Age of Rebellion,SW0029,R5-D4,none,neutral
7180-1,B-wing at Rebel Control Center,2000,338,Age of Rebellion,SW0032,Rebel Pilot,Rebel Alliance,protagonist
7180-1,B-wing at Rebel Control Center,2000,338,Age of Rebellion,SW0034,Rebel Engineer,Rebel Alliance,protagonist
7184-1,Trade Federation MTT,2000,470,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7186-1,Watto's Junkyard,2001,443,Fall of the Jedi,SW0038,Watto,none,neutral
7186-1,Watto's Junkyard,2001,443,Fall of the Jedi,SW0979,Aldar Beedo,none,neutral
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0010,C-3PO,Rebel Alliance,protagonist
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0011,Chewbacca,Rebel Alliance,protagonist
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0014,Han Solo,Rebel Alliance,protagonist
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0021,Luke Skywalker,Rebel Alliance,protagonist
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0026,Princess Leia,Rebel Alliance,protagonist
7190-1,Millennium Falcon,2000,663,Age of Rebellion,SW0028,R2-D2,Rebel Alliance,protagonist
7200-1,Final Duel I,2002,29,Age of Rebellion,SW0004,Darth Vader,"Sith Order, Galactic Empire",antagonist
7200-1,Final Duel I,2002,29,Age of Rebellion,SW0041,Palpatine,"Sith Order, Galactic Empire",antagonist
7201-1,Final Duel II,2002,23,Age of Rebellion,SW0036,Stormtrooper,Galactic Empire,antagonist
7201-1,Final Duel II,2002,23,Age of Rebellion,SW0046,Imperial Officer,Galactic Empire,antagonist
7201-1,Final Duel II,2002,23,Age of Rebellion,SW0068,Luke Skywalker,Rebel Alliance,protagonist
7203-1,Jedi Defense I,2002,59,Fall of the Jedi,SW0063,Droideka,Confederation of Independent Systems,antagonist
7203-1,Jedi Defense I,2002,59,Fall of the Jedi,SW0069,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7204-1,Jedi Defense II,2002,53,Fall of the Jedi,SW0027,Qui-Gon Jinn,"Jedi Order, Galactic Republic",protagonist
7204-1,Jedi Defense II,2002,53,Fall of the Jedi,SW0047,Battle Droid Security,Confederation of Independent Systems,antagonist
7204-1,Jedi Defense II,2002,53,Fall of the Jedi,SW0048,Battle Droid Commander,Confederation of Independent Systems,antagonist
7250-1,Clone Scout Walker,2005,108,Fall of the Jedi,SW0130,Clone Trooper,Galactic Republic,protagonist
7251-1,Darth Vader Transformation,2005,53,Fall of the Jedi,SW0138,Darth Vader,"Sith Order, Galactic Republic, Galactic Empire",antagonist
7251-1,Darth Vader Transformation,2005,53,Fall of the Jedi,SW0139,Darth Vader,"Sith Order, Galactic Republic, Galactic Empire",antagonist
7251-1,Darth Vader Transformation,2005,53,Fall of the Jedi,SW0144,FX-9 Medical Assistant Droid,Galactic Republic,neutral
7252-1,Droid Tri-Fighter,2005,148,Fall of the Jedi,SW0136,Buzz Droid,Confederation of Independent Systems,antagonist
7255-1,General Grievous Chase,2005,111,Fall of the Jedi,SW0134,General Grievous,Confederation of Independent Systems,antagonist
7255-1,General Grievous Chase,2005,111,Fall of the Jedi,SW0135,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7256-1,Jedi Starfighter and Vulture Droid,2005,202,Fall of the Jedi,SW0120,Anakin Skywalker,"Jedi Order, Galactic Republic",protagonist
7257-1,Ultimate Lightsaber Duel,2005,282,Fall of the Jedi,SW0121,Darth Vader,"Sith Order, Galactic Republic, Galactic Empire",antagonist
7257-1,Ultimate Lightsaber Duel,2005,282,Fall of the Jedi,SW0137,Obi-Wan Kenobi,"Jedi Order, Galactic Republic",protagonist
7258-1,Wookiee Attack,2005,366,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7258-1,Wookiee Attack,2005,366,Fall of the Jedi,SW0125,Dwarf Spider Droid,Confederation of Independent Systems,antagonist
7258-1,Wookiee Attack,2005,366,Fall of the Jedi,SW0132,Wookiee Warrior,"Wookiees, Galactic Republic",protagonist
7259-1,ARC-170 Fighter,2005,396,Fall of the Jedi,SW0029,R5-D4,Galactic Republic,protagonist
7259-1,ARC-170 Fighter,2005,396,Fall of the Jedi,SW0118,Clone Pilot,Galactic Republic,protagonist
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi,SW0011,Chewbacca,"Wookiees, Galactic Republic",protagonist
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi,SW0051,Yoda,"Jedi Order, Galactic Republic",protagonist
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi,SW0116,Luminara Unduli,"Jedi Order, Galactic Republic",protagonist
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi,SW0129,Clone Trooper,Galactic Republic,protagonist
7260-1,Wookiee Catamaran,2005,376,Fall of the Jedi,SW0132,Wookiee Warrior,"Wookiees, Galactic Republic",protagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0126,Clone Trooper,Galactic Republic,protagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0127,Clone Trooper,Galactic Republic,protagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0128,Clone Trooper,Galactic Republic,protagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0131,Clone Trooper,Galactic Republic,protagonist
7261-1,Clone Turbo Tank,2005,801,Fall of the Jedi,SW0133,Mace Windu,"Jedi Order, Galactic Republic",protagonist
7261-2,Clone Turbo Tank,2006,813,Fall of the Jedi,SW0001,Battle Droid,Confederation of Independent Systems,antagonist
7261-2,Clone Turbo Tank,2006,813,Fall of the Jedi,SW0126,Clone Trooper,Galactic Republic,protagonist
